log_yield,long,lat,log_subsidy,atr,mpdq,mph2oq,mtwq,sdmp,sdmt,ndvi,clay,sand,silt,nmtaf,htwm
5.217649463,-102.375,40.125,7.037757034,43.09999847,0.300000012,2.466670036,22.89999962,0.87017101,9.863369942,0.300999999,4,87,9,7,32.90000153
4.999911331,-102.375,41.125,5.971541634,44,0.300000012,2.533329964,22.39999962,0.912994981,9.964400291,0.356999993,13,17,70,7,32.70000076
5.029129877,-102.375,41.625,5.864093198,43.79999924,0.300000012,2.5,21.4666996,0.903989017,10.01089954,0.331999987,3,91,5,6,31.60000038
4.80073697,-102.375,42.625,6.003214017,43.79999924,0.333332986,2.599999905,20.83329964,0.939495027,10.16730022,0.407999992,7,75,18,6,30.79999924
5.353752073,-102.375,36.875,6.106596775,42.09999847,0.333332986,2.200000048,24.29999924,0.779811978,9.31731987,0.207000002,21,43,36,7,33.59999847
3.728100167,-102.375,45.625,5.319345532,45.40000153,0.300000012,2.200000048,20.20000076,0.799811006,11.28110027,0.437000006,12,57,31,6,29.70000076
2.587764035,-102.375,43.375,4.240224654,43.90000153,0.233333007,2.466670036,21.13330078,0.911998987,10.27880001,0.455000013,17,40,42,6,31.10000038
5.305789381,-102.375,34.625,6.816509419,38.70000076,0.433333009,2.400000095,24.86669922,0.834302008,8.578669548,0.264999986,36,31,33,9,33.29999924
5.284725413,-102.375,34.125,6.456407942,38,0.400000006,2.299999952,25.06669998,0.828288019,8.420980453,0.280000001,4,89,8,9,33.20000076
4.751864565,-102.375,33.125,3.92158244,36.90000153,0.466666996,2.066669941,25.5333004,0.736236989,8.08355999,0.236000001,3,92,5,9,33.40000153
4.94875989,-101.875,38.375,6.118359976,44.29999924,0.233333007,2.233330011,23.66670036,0.823656023,9.970140457,0.216999993,14,17,70,7,33.59999847
5.192956851,-101.875,38.125,5.659945659,44.29999924,0.233333007,2.233330011,23.66670036,0.823656023,9.970140457,0.221000001,13,18,69,7,33.59999847
5.049856007,-101.875,37.125,6.058620351,43.59999847,0.333332986,2.133330107,24.73329926,0.746303976,9.788990021,0.191,3,92,5,7,34.29999924
4.997212274,-101.875,38.875,6.413946532,43.09999847,0.333332986,2.333329916,23.26670074,0.821446002,9.80768013,0.273999989,13,18,69,7,33.09999847
3.698829785,-101.875,45.125,5.413438917,45.59999847,0.366667002,2.200000048,20.89999962,0.776160002,11.33860016,0.377999991,21,30,49,7,30.39999962
5.248601774,-101.875,34.125,6.475591585,38.20000076,0.466666996,2.299999952,25.36669922,0.824989021,8.55753994,0.284999996,35,31,33,9,33.40000153
